name,inn
"ООО ""АМ ТИМ АЙТИ""",6671276544
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМА БАМ""",6671290563
"ООО ""АЛЬФА""",6671311566
"ООО ""АСТРУМ ЭДЖЕНСИ""",6671341708
"ГБУ СО ""ОПЕРАТОР ЭЛЕКТРОННОГО ПРАВИТЕЛЬСТВА""",6671352361
"ООО ""БИ АЙ ТИ""",6671416632
"ООО ""АВЕРСОФТ""",6671419538
"ООО ""АДВАНТА КОНСАЛТИНГ""",6671428349
"ООО ""ВИТАМИН-ПЛЮС""",6672130308
"ООО ""ВЕБФОРМАТ""",6672146298
"ООО ""CРM-ТЕХНОЛОГИИ""",6672236054
"ООО ""АЛЬТЕР""",6672250267
"ООО ""АРЧА-СЕРВИС""",6673172124
"ООО ""АКТИВНАЯ ЛОГИКА""",6673211020
"ООО ""АПРИКОД""",6674330454
"ООО ""АЙПИДЖИ ПРОМО""",6674336368
"ООО ""АЙ-ЛИНК КОНСАЛТИНГ""",6678031060
"ООО ""ВЕСЁЛЫЕ ЭНТУЗИАСТЫ""",6678044750
"ООО ""АЙТИ ЛАБС""",6678075607
"ООО ""АЙТИНАВИГАТОР""",6678110259
"ООО ""АИК""",6679075416
"ООО ""АНАНАС. ИТ РЕШЕНИЯ""",6679096487
"ООО ""ВКС-СОФТ""",6679139927
"ООО ""АК-СОФТ""",6679150060
"ООО ""АИБ КОМПАНИ""",6682005024
"ООО ""АП СОФТ""",6685044913
"ООО  ""АДИДЖИТАЛ""",6685145735
"ООО ""БОКСБЕРРИ СОФТ""",6685157931
"ООО ""АКСОН""",6685178385
"ООО ""1ЭР""",6685181740
"ООО ""АРМУС ПРО""",6685201919
"ООО ""АПОГЕЙ ЕКБ""",6685209428
"ООО ""АТК""",6685210720
"ООО ""АИТ-РЕШЕНИЯ""",6685212043
"ООО ""АЙТИБИО""",6685218782
"ООО ""АТОМ.ЦИФРА""",6685220380
"ООО ""АЛЬЯНС АЙТИ ТЕХНОЛОДЖИ""",6686015778
"ООО ""АДВЕРТА - ЕК""",6686082421
"ООО ""ВЫСОКИЙ ПЕРЕДЕЛ""",6686097410
"ООО ""АИМЕТРОЛОДЖИ""",6686127880
"ООО ""АЙРОНПЛЭЙС""",6686137631
"ООО ""АРХИТЕКТУРА УЧЕТА""",6686149669
"АО ""ТАЙГА""",6686154940
"ООО ""АЙРОНАП""",6686162927
"АО ""ИТ-ЭЛЕМЕНТ29""",6686168100
"ООО ""СТУДИЯ СОВРЕМЕННОЙ РАЗРАБОТКИ""",6700006055
"ООО ""РУ АДМИН""",6700008461
"ООО ""АЙТИ КОНУС""",6700011200
"ООО ""ЕТАИ""",6700012683
"ООО ""ВЕБ КОНСАЛТИНГ ГРУПП""",6700015726
"ООО ""ТЕХЛИДС""",6700023935
"ООО ""КОРРЕКТО""",6729044920
"ООО ""КЕЙСТАТ""",6730044851
"ООО ""КОНСУЛЬТАНТПЛЮС СМОЛЕНСК""",6730067016
"ООО ""ТОЧНЫЙ УЧЕТ СОФТ""",6730074849
"ООО ""КЦ ""ИКС""",6731064970
"ООО ""ТВИНС""",6731067957
"ООО ""АЙТИ ГРЭЙД""",6732004205
"ООО ""ПБЭ""",6732052819
"ООО ""ДАТАГРАМ""",6732066868
"ООО ""АРСЕНАЛ 67""",6732077490
"ООО ""ТВИНС ТЕХНОЛОГИИ""",6732113162
"ООО ""АЛСОП""",6732116163
"ООО ""ДЖАСТ ВОРК""",6732121170
"ООО ""ПРОСТЫЕ РЕШЕНИЯ СОФТ""",6732138248
"ООО ""КОАЛА""",6732178360
"ООО ""РОКЕТ СОФТ""",6732180881
"ООО ""ТВИНСЛАБ""",6732182913
"ООО ""СКС""",6732205568
"ООО ""БРОККОЛИ ГЕЙМЗ""",6732211956
"ООО ""ОФИС ПЛЮС""",6732216834
"ООО ""НОВЫЕ ТЕХНОЛОГИИ""",6732219507
"ООО ""АДЕПТУМ ДИДЖИТАЛ""",6732224232
"ООО ""КИБЕРТАГ""",6732225388
"ООО ""ВИГБО""",6732226737
"ООО ""БЛС-СОФТ""",6732233075
"ООО ""НСЭА""",6732238588
"ООО ""СОЛГРАД""",6732244528
"ООО ""ЭКСПОНЕНТА""",6800002128
"ООО ""СМАРТ ПИГ""",6800003675
"ООО ""ПАНАКОТА""",6800004125
"ООО ""ВРАТА""",6800008458
"ООО ""БИЗНЕС-АНАЛИТИКА ИТ""",6800010400
"ООО ""МАКСИМА-Х""",6828007729
"ООО ""СЕРВИС-СОФТ""",6829006326
"ООО ""ЦНТД""",6829014609
"ООО ""СОФТ-МАСТЕР""",6829017889
"ООО ""РСС ТАМБОВ""",6829022303
"ООО ""НТО ""ИНТ""",6829028640
"ООО ""ПМК ПРОГРАММЫ И КОМПОНЕНТЫ""",6829046696
"ООО ""ПРИКЛАДНОЕ ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ""",6829051230
"ООО ""СТЭК""",6829055475
"ООО ""КОМПЬЮТЕР-СОФТ""",6829070032
"ООО ""СКОБЕЕВ И ПАРТНЕРЫ""",6829076877
"ООО ""ИТЦ ""БАРС-ТМБ""",6829080665
"ООО""КМТ""",6829082006
"ООО ""ПРОФИ""",6829090092
"ООО ""ВОКС  НЕТВОРК""",6829094428
"ООО ""ИНТЕХ""",6829095823
"ООО ""ГИБРИД""",6829098278
"ООО ""БРИЗ+""",6829104482
"ООО ""ТН-ГРУПП""",6829104796
"ООО ""АКТИВНОЕ ОБУЧЕНИЕ""",6829109480
"ООО ""ЭВЕРЕСТ""",6829138940
"ООО ""ФЛАЙКОД""",6829141692
"ООО ""БИ ФАУНД""",6829142382
"ООО ""АЙСИ ГРУПП""",6829146468
"ООО ""ИНТЕРНЕТ РЕШЕНИЯ""",6829152486
"ООО ""ТРИ""",6829155550
"ООО ""ЧЕРНЫЕ МЕДВЕДИ""",6829155568
"ООО ""ЭВРИКА МАРКЕТИНГ""",6829156113
"ООО ""СМОРОДИНА МОБАЙЛ""",6829160543
"ООО ""ЦИФАРМЕД""",6829162854
"ООО ""КИТТ""",6829163008
"ООО ""ТИККИТ""",6829163992
"ООО ""МИР ЦИФРЫ""",6829164080
"ООО ""НУЛЕВОЕ АГЕНТСТВО""",6829164114
"ООО ""АГРО.АИ""",6829164820
"ООО ""СДЭК АЙТИ""",6829164890
"ООО ""ВИАР ПРО""",6829164996
"ООО ""РЕБОТИКА ТЕКНОЛОДЖИС""",6829165069
"ООО ""КОМПЬЮТЕР-ДОК""",6831022766
"ООО ""АЙТИ СФЕРА""",6900009279
"ООО ""КОРПОРАЦИЯ РЕШЕНИЙ""",6900009712
"ООО ""СЕРВИС ПП""",6900012754
"ООО ""ВИЗАРД-МЕРКУРИЙ""",6900013483
"ООО ""СФЕРА ИТ""",6900013966
"ООО ""ГЭЛС - ТЕХНОЛОГИЯ""",6900016607
"ООО ""ВЦ ВИЗАРД-С""",6901046210
"ООО ""БИЗНЕС-АЛГОРИТМЫ""",6901057187
"ООО ""РТКОМ-КРИПТО""",6901058582
АО НИИ ЦПС,6904008332
"ООО ""БОЦМАН""",6905037103
"ООО ""КОМПАЛЕКС""",6905043298
"ООО ""ОНЛАЙН-ШКОЛА ПРОГРАММИРОВАНИЯ""",6908018109
"ООО ""МИР ТЕХНОЛОГИЙ""",6908018564
"ООО ""АРРОУСОФТ""",6914021580
"ООО "" ОКСИ""",6915008302
"ООО ""НТС""",6949010660
"ООО ""ТДС""",6949109620
"ООО ""ГРОМ-ИТ СОФТ""",6949113640
"ООО ""ТЭДУИТ""",6949114965
"ООО ""ТВЕРСКИЕ ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",6950015197
"ООО ""ИНТЕРНЕТ-СИСТЕМЫ""",6950033862
"ООО ""АМИФОРУС""",6950035531
"ООО ""ВИЗАРД РИТЕЙЛ""",6950042218
"ООО ""КРИТ""",6950044374
"ООО ""ДСМЛ""",6950056683
"ООО ""СДД""",6950081182
"ООО ""БИАЙЭКСПЕРТ""",6950085973
"ЗАО ""ИРБИС""",6950105771
"ООО ""ВИЗАРД-АЙТИ""",6950123097
"ООО ""И.Т.М.""",6950129719
"ООО ""ТИТ""",6950136032
"ООО  ""ИНЖЭНИУС ТИМ""",6950136297
"ООО ""ПЕТРОВАЙЗЕР СОФТ""",6950139393
"ООО ""ВИЗАРД-КОНСАЛТИНГ""",6950142484
"ООО ""ОБЪЕДИНЕНИЕ АГРЕГЕЙТ""",6950166982
"ООО ""ШТАРК""",6950173179
"ООО ""ОМНИТЕК - ПРОГРАММНЫЕ РЕШЕНИЯ""",6950175747
"ООО ""АНТИФИШИНГ""",6950191442
"ООО ""ЦС ВИЗАРД-С""",6950199882
"ООО ""ЦИКЛ-ОН""",6950207766
"ООО ""КБ-ЛАБ""",6950217186
"ООО ""ИОТ РЕШЕНИЯ""",6950228075
"ООО ""АЙТИ ПАРТНЕР""",6950237312
"ООО ""ДРИМВИАР СТУДИО""",6950238852
"ООО ""ЭРСКВАД ИТ-КОНСАЛТИНГ""",6950239101
"ООО ""РТКОМ""",6950239711
"ООО ""СЕРВИС СОФТ""",6950244454
"ООО ""ИТ ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ""",6950248191
"ООО ""ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ""",6950256820
"ООО ""РСТЕХ""",6950259690
"ООО ""АКСТИМ ТЕХ""",6950259732
"ООО ""МЕГАБИТ""",6950259901
"АО ""ОМНИПЛАТФОРМА""",6950263190
"ООО ""ПРОСОФТ""",6950263288
"ООО ""КОММИТ ВОРК""",6950265077
"ООО ""ВЕГАТЕХ""",6950266507
"ООО ""ФИАНИТ""",6950269522
"ООО ""АВРУТЕХ""",6950271560
"АО ""НПП ""ЭРГОЦЕНТР""",6952013300
"ООО ""СОЛТ ЭНД ПЭПЕР""",6952029967
"ООО ""ГРЭЙТ""",6952323091
"ООО ""КСК ИТ""",6952323253
"ООО ""АЙТИ ПРОЕКТЫ И РЕШЕНИЯ""",6952324352
"ООО ""РЭДИС""",6952325701
"ООО ""АЙТИ-АВТОМАТИЗАЦИЯ""",7000000074
"ООО ""САЙОФИС""",7000003004
"ООО ""ИНФА""",7000003188
"ООО ""ОЙЛТИМ ИНФОРМ""",7000015786
"ООО ""ВЕРШИНАСОФТ""",7000015828
"ООО ""РОБОТ И КОМАНДА""",7000017092
"ООО ""РУЗНАК""",7000018924
"ООО ""СТУДИЯ Т""",7000020610
"ООО ""АЙТЕК""",7000020923
"ООО ""СПОТПАРКИНГ""",7002024465
"ООО ""ГАРАНТ""",7014031820
"ООО ""НСТ""",7014063941
"ООО ""НОВИНТЕХ""",7017000467
"ООО ""ОРИГМА""",7017052521
"ООО ""ИНТРАЙС""",7017055040
"ООО  НЦ ""ПОЛЮС""",7017062946
"ООО ""КОНТЕК-СОФТ""",7017065538
"ООО ""АДЕКС""",7017081674
"ООО ""ПАРУС - ТОМСК""",7017105438
"ООО ""СТАРТЕКСТ Т""",7017116542
"ЗАО ""ЭЛЕКАРД ДЕВАЙСЕЗ""",7017118684
"ООО ""НТР ТОМСК""",7017118839
"ООО ""АВСИС""",7017131879
"ООО ""КИР""",7017136926
"ООО ""ГЛАВСОФТ""",7017138313
"ООО ""СОФТИНТЕК""",7017158990
"ООО ""ВДА""",7017186540
"ООО ""АСПЕКТ""",7017193748
"ООО ""СОФТИНФОРМ""",7017198320
"ООО ""ФЛОГ""",7017202311
"ООО ""БРАВЫЙ СТРАУС""",7017206299
"ООО ""МЭЙНКОНЦЕПТ-НЛД""",7017206644
"ООО ""ТЭТА""",7017217967
"ООО ""БИТВОРКС""",7017222318
"ООО ""НПФ МЕХАТРОНИКА-ПРО""",7017223270
"ООО ""МАРТ""",7017235500
"ООО ""ФЛАЙНЕТ""",7017242508
"ООО ""НТП""КИБЕРЦЕНТР""",7017247506
"ООО ""АЙТИ""",7017248475
"ООО ""РУБИУС ГРУПП""",7017252288
"ООО ""УТС""",7017252707
"ООО ""ТОМСКАСУПРОЕКТ""",7017262102
"ООО ""АКСИМЕДИА СОФТ""",7017267855
"ООО ""КС ГРУПП""",7017270216
"ООО ""ИНДОРСОФТ""",7017290572
"ООО ""АРВЬЮ""",7017293453
"ООО ""МЕДИАЛУКС СОФТ""",7017297754
"ООО ""АЙ-ЛИНК""",7017304835
"ООО ""СИБЭДЖ""",7017307138
"ООО ""ЛИГА""",7017310356
"ООО ""ПЕРВАЯ СВОБОДНАЯ ПЛАТФОРМА ЛЕГАЛЬНОЙ МУЗЫКИ""",7017310772
"ООО ""УЦ СИБИРИ""",7017311494
"ООО ""БИЗНЕС СОФТ""",7017315509
"ООО ""ИТ АНАЛИТИКА""",7017315700
"ООО ""АПЛИНК""",7017324221
"ООО ""РЭДМЭДРОБОТ ТСК""",7017330063
"ООО ""САПЛ-БИЗ""",7017330440
"ООО ""КСОФТ""",7017356696
"ООО ""КТ СОФТ""",7017356960
"АО ""АТОМИК СОФТ""",7017373532
"ООО ""Т-СТУДИЯ""",7017375554
"ООО ""ТОМСКСОФТ-Р""",7017382142
"ООО ""РЕЗУЛЬТАТ""",7017384069
"ООО ""ДИ ЭЙ ГРУПП""",7017388659
"ООО ""50ОМ ТЕХ.""",7017398640
"ООО ""ВИСКУР""",7017400137
"ООО ""КРАСНАЯ РАМКА""",7017404572
"ООО ""МАГ ДЕВЕЛОПМЕНТ""",7017405720
"ООО ""НПП ""АВТОМАТИКА""",7017405897
"ООО ""ТЕЛЕБРИЗ""",7017413993
"ООО ""ПАРАВЕБ""",7017421754
"ООО ""УМНЫЙ ГОРОД""",7017422412
"ООО ""БЭТРОНИК""",7017422684
"ООО ""КОМПАНИЯ СИСТЕМА""",7017423303
"ООО ""МЕРКАДО""",7017426079
"ООО ""СНК""",7017426216
"ООО ""МЕТАЛАМПА""",7017427788
"ООО ""ДЕВОПС""",7017433421
"ООО ""МАСК-ПЭЙ""",7017446727
"ООО ""ИС-БУРЕНИЕ""",7017455545
"ООО ""АЛЬДЕРАСОФТ""",7017457775
"ООО ""ИНСПАИР-ТЕХНОЛОГИИ""",7017461845
"ООО ""МАСК СЭЙФ""",7017463225
"ООО ""СИБКОД""",7017467981
"ООО ""ДИДЖИТАЛ НОМАДС""",7017469940
"ООО  ""ДЕКСТРИМ""",7017479867
"ООО ""ФРОСТИБИТС""",7017480291
"ООО ""СМАРТИНФОРМ""",7017481810
"ООО ""ГАЛИЛЕО ЛАБС""",7017482806
"ООО ""СИНЕКТА""",7017484070
"ООО ""ИННОВАЦИОННЫЙ ЦЕНТР РАЗРАБОТКИ""",7017485814
"ООО ""АКАДЕМИЯ ДАТА-ДАЙВИНГ""",7017489135
"ООО ""КИБЕРДЖЕТ""",7017489713
"ООО ""НСТ""",7017490814
"ООО ""ДИДЖИТАЛ КОМПАНИ""",7017492152
"ООО ""СИБАГРО - ИТ""",7017492258
"ООО ""ИТ-АЛЬТЕРНАТИВА""",7017493011
"ООО ""СИБТЕХНОЛОГИИ""",7017493910
"ООО ""ВИАР РАЗРАБОТКА""",7017494174
"ООО ""РУБИУС ТЕХ""",7024023627
"ООО ""ТЕХЛЕГАЛ""",7100008542
"ООО ""АП""",7100011200
"ООО ""ПОДАРКУС""",7100016656
"ООО ""АНТАРА-Т""",7100019777
"ООО ""ИС ""АКАДЕМРЕСУРС""",7100019897
"ООО ""АСК""",7100020035
"ООО ""НОВОСТНЫЕ СИСТЕМЫ""",7100020860
"ООО ""ФАБРИКА ТЕХНОЛОГИЙ""",7100025971
"ООО ""ДОКТОР СОФТЕР""",7100027714
"ООО ""ГИЛЬДИЯ-СОФТ""",7100028475
"ООО ""ГЕФЕСТ ТЕХНОЛОДЖИЗ""",7100029285
"ООО ""КОНТУР 165""",7100030996
"ООО ""СВОИ ТЕХНОЛОГИИ""",7100033676
"ООО ""КОММИТ""",7100039290
"ООО ""СЕОВЕН МЕДИА""",7100043635
"ООО ""БУХГАЛТЕРИЯ И ФИНАНСЫ""",7100046153
"ООО ""ТМС ЭЛЕКТРОНИКС""",7100047527
"ООО ""ИТ-СПУТНИК""",7100048016
"ООО ""ПОГНАЛИ""",7100049002
"ООО ""ЭВЕРЕСТ""",7100049186
"ООО ""РАЙТЕК СТП""",7100051964
"ООО ""Ю-ВЕБ""",7100056708
"ООО ""МАЛИБУ МЕДИА""",7100060912
"ООО ""МПФИНАССИСТ""",7100061867
"ООО ""БИЗНЕС-ТЕХНОЛОГИИ""",7103039482
"ООО ""ЭЛЬФСАЙТ""",7103048060
"ООО ""КИБЕРТРОНИКС""",7103048649
"ООО ""ВЕБ ТЕКАРТ""",7104043241
"ООО ВЦ ""БАЛАНС""",7104046997
"ООО ""ДИОЛ""",7104053754
"ООО ""ИННОВАЦИОННЫЕ РЕШЕНИЯ""",7104077628
"ООО ""ТРЕТИЙ ПУТЬ""",7104078389
"ООО ""ЭДСГЕТ""",7104078396
"ООО ""КБ АСП""",7104506080
"ООО ""АЙ-ВИ""",7104509557
"ООО ""ГИЛЬДИЯ""",7104513602
"ООО ""ЭП""",7104518488
"ООО ""МАКСИС АЙ ТИ""",7104521829
"ООО ""АЙТИ ТЕСТ""",7105046527
"ООО ""КЛИКХЕЛП""",7105048718
"ООО ""ПВС""",7105502635
"ООО ""КОДМАСТЕРС ТУЛА""",7105512986
"ООО ""ЛУЧИ ЗДОРОВЬЕ""",7106021081
"ООО ""СТУДИЯ ""ЧЕТВЕРТЫЙ КИТ""",7106026097
"ООО ""РЦПИ ""ЭДВАЙЗЕР""",7106034926
"ООО ""СОФТ ГОЛД""",7106038670
"ООО ""ТУЛАСОФТ""",7106057497
"ООО ""ЛРП""",7106062899
"ООО ""БИЭНДЖИ""",7106083867
"ООО ""ИНФОТЕК""",7106513340
"ООО ""ИДЦ""",7106516976
"ООО ""СПАРК ИНТЕГРАЦИЯ""",7106531526
"ООО ""СОФТЭКСПЕРТ""",7107045310
"ООО ""ТЦА""",7107063704
"ООО ""СОЦИНФОРМТЕХ""",7107081485
"ООО  ""СМАРТЕК""",7107090306
"ООО ""НОВЕЛИТ""",7107096844
"ООО ""АДВЕРТ-ПРО""",7107106789
"ООО ""ТЕХНОЛОГИИ АВТОМАТИЗАЦИИ БИЗНЕСА""",7107121177
"ООО ""САТИСФАЙ ТРЭВЕЛ""",7107131721
"ООО  ""РАЙТЕК ДТГ""",7107132500
"ООО ""ЮНИТ-Т""",7107133140
"ООО ""СКИШИФТ""",7107133239
"ООО ""ЗТК""",7107136134
"ООО ""ИТЕРРА-ИТ""",7107137508
"ООО ""ВЕБ ОПТИМАЙЗ""",7107506650
"ООО ""ЕВАППС""",7107515372
"ООО ""ЛАБОРАТОРИЯ ОБЪЕДИНЕННЫХ ТЕХНОЛОГИЙ""",7107516930
"ООО ""СОЛИД СИСТЕМС ТУЛА""",7107519585
"ООО ""ГРИФ Т""",7107520929
"ООО ""ОНПИК""",7107524095
"ООО ""ИНТЕНСА""",7107540675
"ООО ""АЙКОНИКС""",7107541083
"ООО ""АИ МАРКЕТИНГ""",7107545352
"ООО ""КОМПАНИЯ ЮТЛ""",7107551349
"ООО ""СЕЛЛАН ИНЖИНИРИНГ""",7116159642
"ООО ""СТУДИЯ АРТУРА МАТВЕЕВА""",7116512177
"ООО ""БЕЛЫЙ КОД""",7117028593
"ООО ""ЮНИВЕБ""",7118502978
"ООО ""ДЖОБКАРТ""",7130504178
"ООО ""НЕМИНД""",7132003770
"ООО ""ДЦ""",7202002927
"ООО ""КИБ-КОМПЛЕКС""",7202163723
"ООО ""ДИО-КОНСАЛТ""",7202189496
"ООО ""РОСО ГРУП""",7202195820
"ООО ""ИНФА""",7202199279
"ООО ""КАСКАД-ПРО""",7202205934
"ООО ""АЙ КЬЮ ДЕВ""",7202231980
"ООО ""+ АЛЬЯНС. ИТ""",7202240456
"ООО ""АЙТИПРО""",7202245863
"ООО ""ЛИСТ""",7202249466
"ООО ""САН-ВЕБ""",7202251955
"ООО ФИРМА ""ИТЭС""",7202252645
"ООО ""ИТЭС-СЕРВИС""",7203130640
"ООО ""ИНФОКОМ""",7203145974
"ООО ""СОЮЗГЕОСЕРВИС""",7203149680
"ООО ""КРЕАТИВ""",7203153125
"ООО ""ДУБЛЬГИС-ТЮМЕНЬ""",7203179370
"ООО ""ФОКСКОМ""",7203198214
"ООО ""+АЛЬЯНС""",7203213078
"ООО ""УРАЛМИКРО""",7203234670
"ООО ""МЕДИА ИНСТАНС""",7203270710
"ООО ""ГИТОЙЛ ИТ""",7203278950
"ООО ""ИНКЛИК""",7203283318
"ООО ""БИЗНЕС-ПРЕМИУМ""",7203284657
"ООО ""АЙТИ-СЕРВИС""",7203286037
"ООО ""АРБУС-ТЮМЕНЬ""",7203302850
"ООО ""ЛЕГАСИ""",7203304455
"ООО ""ИТС""",7203309686
"ООО ""АЛГОРИТМ""",7203310561
"ООО ""ОКАС""",7203314414
"ООО ""ВНЕДРЕНЧЕСКИЙ ЦЕНТР ""ТРИУМФ""",7203316563
"ООО ""БИТ""",7203327011
"ООО ""СИДИЭС""",7203340260
"ООО ""ЖИЛИЩНЫЙ СТАНДАРТ""",7203340502
"ООО ""МАСТЕР-ИНТЕГРАЦИЯ""",7203350130
"ООО ""ТЕЛЕМАТИКА""",7203355555
"ООО ""АЙТИ+ КОНСАЛТИНГ""",7203383471
"АО ""СЭЛЛС""",7203390380
"ООО ""1С-МР""",7203395572
"ООО ""АЙТИ АРХИТЕКТОР""",7203398654
"ООО ""ИТ-СЕРВИС""",7203402981
"ООО ""Е-СОФТ""",7203405541
"ООО ""РУСОФТ""",7203406714
"ООО ""МИНТ РОКЕТ""",7203412482
"ООО ""ДЖЕМС ДЕВЕЛОПМЕНТ""",7203423815
"ООО ""ДИСПЭКС""",7203425202
"ООО ""ФОДЕВ""",7203444068
"ООО ""ИНТЕГРО""",7203444090
"ООО ""БИЗНЕС-УЧЕТ ИТ""",7203445061
"ООО ""АЭРОКОД""",7203446266
"ООО ""ПРОТЕЙ АЙ-ТИ - ИНЖИНИРИНГ""",7203447485
"ООО ""ДИАЛТЕХ-УРАЛ""",7203452823
"ООО ""СИМАКС""",7203458399
"ООО ""ТСК""",7203468206
"ООО ""АСУ-ИНТЕГРА""",7203471897
"ООО ""ПЭЙКОН-ТЕХНОЛОДЖИ""",7203482602
"ООО ""РЕБРЕНДИ КОНСАЛТИНГ""",7203488234
"ООО ""КЗИ""",7203489580
"ООО ""ВЕСМ""",7203490970
"АНО ДПО ""МИПП""",7203494911
"ООО ""ИННОВА""",7203495915
"ООО ""СТУДИЯ 42""",7203514170
"ООО ""АПОК""",7203521298
"ООО ""АРИОТЕХ""",7203521410
"ООО ""МЦ""",7203537731
"ООО ""АНИКС""",7203538485
"ООО ""РЕКУРСИЯ""",7203541520
"ООО ""ИТУС""",7203541865
"ООО ""СВОД""",7203542026
"ООО ""ДИДЖИТАЛ ВАНДЕР""",7203542555
"ООО ""ДЕВТРИКС""",7203543220
"ООО ""ПЛЕКСУС""",7203543679
"ООО ""БЮРО СУЧКОВА""",7203543742
"ООО ""СППЛ""",7203544577
"ООО ""МСТРОЙ""",7203549470
"ООО ""ИК ""ПРОМСОФТ""",7203552360
"ООО ""ДЕФАЙНЕД""",7203553250
"ООО ""РАЗРАБОТКА КОДА""",7203555240
"ООО  ""КОМПЛЕКСНАЯ ИТ-АРХИТЕКТУРА""",7203555258
"ООО ""МКАИР ИТ""",7203556212
"ООО ""АЛЕКС ИИ""",7203560201
"ООО ""ПРОКСИБИТ""",7203560709
"ООО ""ГМС ИТ""",7203561131
"ООО ""ГИТОЙЛ""",7203564118
"ООО ""ДОСТУПНЫЕ ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",7203564326
"ООО ""НИКА БИЗНЕС СЕРВИС""",7203566517
"ООО ""МАНТРИ ЦИФРОВЫЕ РЕШЕНИЯ""",7203566524
"ООО ""СЕРВИСФОРС""",7203577124
"ООО ""РЕЛИЗ""",7203577364
"ООО ""ДЕНВАЛ СОФТ""",7203582371
"ООО ""МЕТРЫ. ТЕХНОЛОГИИ""",7203595701
"ООО ""МЕДИНФОЦЕНТР""",7204084851
"ООО ""ИТ- ТЮМЕНЬ""",7204123613
"ООО ""СМАРТ СИ""",7204148449
"ООО ""ЛИКОРИС""",7204182136
"ООО ""ТЕХНОКОМ""",7204196795
"ООО ""ЛАБИТ""",7205031034
"ООО ""СИБУР ДИДЖИТАЛ""",7206057388
"ООО ""СОФТ72""",7224092177
"ООО ""ИИ37""",7224094209
"ООО ""СОФТТАЙМ""",7300000614
"ООО ""ИНТЕЛЛЕКТУАЛЬНЫЕ ПОИСКОВЫЕ РЕШЕНИЯ""",7300000830
"ООО ""КИСЛОРОД ДИДЖИТАЛ""",7300000950
"ООО ""КОМП СТАЙЛ""",7300001590
