name,inn
"ООО ""АЙТИ СПАРК""",1656057179
"ООО  ""АЛЬФАКОМ""",1657084496
"ООО ""БИПИУМ""",1657198895
"ООО ""АК БАРС ГАРАНТ""",1657248560
"ООО ""А2СОФТ""",1657249187
"ООО ""ВАШ КОНСУЛЬТАНТ""",1658039104
"ООО ""АКТИВ ПЛЮС""",1658087002
"ООО ""АЙТИ БСА""",1658153030
"ООО ""ГК ТЕНЗОТЕХСЕРВИС""",1658211820
"ООО ""БИАЙ-КРАФТ""",1658228013
"ООО ""АЙТИ РЕШЕНИЯ""",1658252030
"ООО ""АЙТИ ПРОВАЙДЕР""",1659092598
"ООО ""ВИЛСОФТ""",1659107815
"ООО ""ВЦ КОМЛАЙН""",1659146282
"ООО ""ДЕКА""",1659146518
"ООО ""АЙТИ ПРАЙМ""",1659170655
"ООО ""АГ""",1659211213
"ООО ""АРСАН""",1660084538
"ООО  ""АСТ ПОВОЛЖЬЕ""",1660113676
"ООО ""АЙТИ-ЭФФЕКТ""",1660158500
"ООО ""АРСАНСОФТ""",1660160838
"ООО ""АТЛАС""",1660188569
"ООО ""АЛЬФАТЕХ""",1660194347
"ООО ""АК БАРС ЦИФРОВЫЕ ТЕХНОЛОГИИ""",1660202333
"ООО ""БИЗНЕС-ПРОФ""",1660279199
"ООО ""ВИРТУАЛЬНЫЕ ТЕХНОЛОГИИ""",1660332580
"ООО ""Б-РЕЙН СОЛЮШЕНС""",1661071154
"ООО ""БЬЮТИ АГЕНТ""",1673006400
"ООО ""АЙЭМСИ""",1675003556
"ООО ""АК БАРС ЦИФРОВЫЕ РЕШЕНИЯ""",1683000439
"ООО ""АЛОНГ""",1683004730
"ООО ""АЙТИСФЕРА""",1683012346
"ООО ""ВАЙЛДБОКС""",1683018490
"ООО ""АГЕНТОСИСТЕМА""",1683022129
"АО ""ТИМ ФОРС МЕНЕДЖМЕНТ""",1683023274
"ООО ""ГЦР""",1684000696
"ООО ""ДАФ""",1684007155
"ООО ""АЙСИЭЛ АСТРА СЕРВИС""",1684010888
"ООО ""АЙСИЭЛ ЭС""",1684014963
"АО ""МА""",1684016819
"ООО ""1МАРКЕТ""",1684016960
"ООО ""БИЗНЕС-ТРЕНАЖЕР""",1684017361
"ООО ""ВАЙБ ГЕЙМС""",1685001484
"АО ""НЬЮ БРЕНД""",1686032615
"ООО ""АТР""",1686035616
"ООО ""ДВАРТО""",1686041602
"ООО ""ТЕНЗОР КЫЗЫЛ""",1700006024
"ООО ""ГРАНЬ БЕЗОПАСНОСТИ""",1701058498
"ООО ""ЦКТ""",1800009406
"ООО ""ЭСТА""",1800010320
"ООО ""ПРОКОД""",1800016033
"ООО ""СМАРТ БИПИЭМ""",1800017943
"ООО ""ИСКРА-ИТ""",1800019108
"ООО ""КОМПАНИЯ БАРС""",1809007146
"ООО ""ЦИТ БАРС""",1809905140
"ООО ""ВМСТУДИО""",1828034160
"ЗАО ""ГОСТА""",1831053412
"ООО БИТ ""МАСТЕР""",1831088983
"ООО ""СПБ""",1831091707
"ООО ""ИНФОРМАЦИОННОЕ БЮРО ""КОДЕКС""",1831094578
"ООО ""АЗИ""",1831103906
"ООО ""ЦЕНТР РАЗРАБОТКИ""",1831117673
"ООО ""ЦИФРАСОФТ""",1831130699
"ООО ""ОМЕГАСОФТВЕР РУС""",1831143987
"ООО ""ЦВТ""",1831147300
"ООО ""ИНФОЛИНК""",1831150328
"ООО ""ФИНКОР""",1831162490
"ООО ""ПРОСПЕКТ ТЕКНОЛОДЖИС""",1831164803
"ООО ""ЭЛМА ПАРТНЕРЫ""",1831180347
"ООО ""ПРЕМЬЕР АЙТИ""",1831189928
"ООО ""КВИК БПМ""",1831190507
"ООО ""АЙТИГРУПП.ПРО""",1831194396
"ООО ""АЛЬФА КОД""",1831195640
"ООО ""СТ""",1831196192
"ООО ""ЭЛМА""",1831197044
"ООО ""ИНТРАЛОГИСТИКА""",1831198143
"ООО ""ДЕКСИС""",1831199958
"ООО ""СЦР""",1831200995
"ООО ""КОМОС ИНФОРМ""",1831201741
"ООО ""АЙТИ-ТАНДЕМ""",1831202760
"ООО ""ДЕВКОМ""",1831203403
"ООО ""ГОТОВИМ ДАННЫЕ""",1831206027
"ООО ""ЭВЕРЕСТ-ИТ""",1831207461
"ООО ""АЙВИ-ГРУПП""",1831207937
"ООО ""СОВЕТ ЦИФРОВЫЕ РЕШЕНИЯ""",1831208641
"ООО ""ИРБИС АНАЛИТИКА""",1832051249
"ООО ""НОВАСТАР""",1832052108
"ООО ""ИТ-ЦЕНТР""",1832060814
"ООО ""АЙВЭКС""",1832089877
"ООО ""65 ГБ""",1832096063
"ООО ""СИСТЕМНАЯ ИНТЕГРАЦИЯ""",1832146860
"ООО ""БИМИТ""",1832158792
"ООО ""ПАРТА""",1832162164
"ЗАО НПО ""ТЕЛЕКОМ""",1833018276
"ООО ""ИРЗ ПЕРВАЯ ЛИНИЯ""",1833035962
"ООО ""БС-КОНСАЛТ""",1833046731
"ООО ""ВИКТОРИ""",1833047414
"ООО ""ИНТЕЛЛЕКТ ЛАБ""",1833052421
"ООО ""НТВП ""КЕДР - КОНСУЛЬТАНТ""",1833056480
"ООО ""АРДЕКС""",1833058261
"ООО ""НАТНЭТ""",1834049125
"ООО ""АСТАРУС""",1834051325
"БУЗ УР ""РМИАЦ МЗ УР""",1835036908
"ООО ""ДИРЕКТУМ""",1835056809
"ООО ""КОМПЬЮТЕР СОФТ""",1835065240
"ООО ""СТМ""",1838026584
"ООО ""РИТ""",1840014554
"ООО ""БИПИЭМ КОНСАЛТИНГ""",1840016110
"ООО ""СКАЙТЕХНО""",1840053948
"ООО ""ЛАБОРАТОРИЯ СТ""",1840073687
"ООО ""СПАРК""",1840075719
"ООО ""ТРУЛАБ""",1840077480
"ООО ""УЧИ.ПРО""",1840083124
"ООО ""АЙЭМГУРУ""",1840095218
"ООО ""СИЛЕРО""",1840096860
"ООО ""БИМ-ЭДВАЙС""",1840106117
"ООО ""АВМ СКАЙ""",1840106131
"ООО ""ПРОФИНТЕХ""",1840108139
"ООО ""МНФКТР""",1840110346
"ООО ""ЯКОМПАНИЯ""",1840111903
"ООО ""ИТ РЕШЕНИЯ""",1840112978
"ООО ""ДЕВТИМС""",1840113361
"ООО ""СИСТЕМА ИНЖИНИРИНГ""",1840117084
"ООО ""МАТРИУС ГРУПП""",1840120295
"ООО ""СИТЕК""",1841003058
"ООО ""ПРОФЕССИОНАЛЬНЫЕ ИНТЕРНЕТ-РЕШЕНИЯ""",1841005016
"ООО ""РОСА""",1841011972
"ООО ""КРИТ""",1841015590
"ООО ""СИТЕК-ИТ""",1841015695
"ООО ""1С-ИЖТИСИ""",1841019386
"ООО ""КВЕР""",1841029338
"ООО ""НООМАТИКА""",1841030076
"ООО ""МАСТЕР ЛИНК""",1841031457
"ООО ""ХЭДЛАЙН-ИЖЕВСК""",1841037410
"ООО ""ПРОСТО""",1841039706
"ООО ""ЛОУ-КОД РЕШЕНИЯ""",1841040878
"ООО ""ЭЛЕВАЙЗ ПРОДЖЕКТ""",1841046118
"ООО ""ИНЖЕНЕРНАЯ ИНФОРМАТИКА""",1841053475
"ООО ""БФГ ГРУПП""",1841065216
"ООО ""МОЙ КАССИР""",1841065336
"ООО ""ИНТЕЛКАПИТАЛ""",1841065840
"ООО ""РАЗВИТИЕ - НОВОЕ МЫШЛЕНИЕ""",1841076306
"ООО ""ТАНГО СОФТ""",1841097377
"ООО ""ГГ ДИДЖИТАЛ""",1841100358
"ООО ""СЭНСИБЛДЕВ""",1841107699
"ООО ""АКСИОМА""",1901042978
"ООО ""ДИЛОР""",1901052221
"ООО ""ХАКАСИЯ.РУ""",1901074176
"ООО ""ИНФОКОМ ПЛЮС""",1901087778
"ООО ""ХАКАССКИЙ ЦЕНТР КОМПЬЮТЕРНОГО СОПРОВОЖДЕНИЯ КИАСОФТ""",1901089782
"ООО ""КОМФОРТ ПЛЮС""",1901107287
"ООО КБ ""АИС""",1901122824
"ООО ""БИЗНЕС СЕРВИС""",1901142637
"ООО ""БИЗНЕС ФОРУМ""",1902007888
"ООО ""РУСГИДРО ИТ СЕРВИС""",1902022558
"ООО ""ВАУ СОФТ""",2013010578
"ООО ""УСКОРЕНИЕ ПРОДАЖ""",2100000248
"ООО ""МЕДИА ВОРКС АЙТИ""",2100000872
"ООО ""ХАЙТЕК МЕДИА""",2100000978
"ООО ""РЕЗУЛЬТ.РЕСТ""",2100010905
"ООО ""СИСТЕМА""",2100013952
"ООО ""ЯЗАТА 3Д""",2100018598
"ООО ""АРТИНТЕХ""",2112004913
"ООО ""РОКЕТСОФТ""",2123013420
"ООО ""МЕГАПЬЮТЕР ТЕК.""",2127023193
"ООО ""ИНТРА""",2127323292
"АО ""ВНИИР""",2128001516
"ООО ""СМАРТ""",2128036928
"ООО ""КС""",2128050753
"ООО ""ГАРАНТ-ЧЕБОКСАРЫ""",2129030051
"ООО ""ИСЕРВ""",2129040860
"ООО ""ИТ-КОНСАЛТИНГ""",2129053228
"ООО ""РЕАЛ-В""",2130004426
"ООО ""ФАСТЕК""",2130015080
"ООО ""РЕМА""",2130038440
"ООО ""ИНСОЦ""",2130042453
"ООО ""КОНСУЛЬТАНТ ПЛЮС ЧУВАШИЯ""",2130046874
"ООО""ГАРАНТ-ТЕХНОЛОГИИ""",2130052010
"ООО""АПИС""",2130052540
"ООО ""АПЛЭБ""",2130062202
"ООО ""АЛЬКОНА""",2130065683
"ООО ""СОФПРО""",2130086669
"АО ""ВНИИР-ПРОГРЕСС""",2130094170
"ООО ""ГОРОДСКАЯ КАРТА""",2130094490
"ООО ""ЛИДЕР СОФТ-ВНЕДРЕНЧЕСКИЙ ЦЕНТР""",2130096963
"ООО ""НПЦ ""КСБ""",2130104117
"ООО ""АЙЗЕКС""",2130104692
"ООО ""ЛАЙМ ЭЙЧ ДИ""",2130132114
"ООО ""ИНТРАСЕТЬ""",2130160947
"ООО ""КОМАНДА Ф5""",2130183567
"ООО ""АСОФТ21""",2130197827
"ООО ""ВТОЧКУ""",2130215346
"ООО ""АСН РУС""",2130219492
"ООО ""АМАКС АВТОМАТИКА""",2130224862
"ООО ""ИТС""",2130227743
"ООО ""КОМПАС ИТ""",2130231517
"ООО ""ЭКРА ИТ""",2130232077
"ООО ""ВПНЬЮ""",2130232920
"ООО ""ИНФОТЕХ 21""",2130233049
"ООО ""С-СОФТ""",2130233730
ООО ИНФОПЛЕКС,2204044507
"ООО ""ГАРАНТ-АЛТАЙ""",2221043239
"ООО "" СКОП - АЛТАЙ """,2221070497
"ООО ""РС-СОФТ""",2221124640
"ООО ""ЭНТЕРРА СОФТ""",2221128595
"ООО ""ВЦ ""АТМОСФЕРА""",2221174802
"ООО ""ИТ СФЕРА""",2221233737
"ООО ""М-ТЕХ""",2221256678
"ООО ""ПРОГРАММНЫЕ ТЕХНОЛОГИИ""",2221257174
"ООО ""КИБЕРИЯ""",2221261043
"ООО ""ГАРАНТ-ПРАВО""",2222037534
"ООО ""ВЕЛЕС+""",2222076364
"ООО ""СОФТ-ЛОДЖИК""",2222784906
"ООО ""СИБИРИКС""",2222791653
"ООО ""ЕИС""",2222796972
"ООО ""ИННТЕХ - СЕРВИС""",2222804856
"ООО ""СОФТ-ЛОДЖИК МЕНЕДЖМЕНТ""",2222805779
ООО АРБИЗ,2222811557
"ООО ""КРЕОНИТ""",2222836248
"ООО ""Е-СИСТЕМ""",2222841978
"ООО ""СМАРТИКС""",2222888430
"ООО ""СПРОСИВРАЧА""",2222890750
"ООО ""СВ-СОФТ""",2222891665
"ООО ""ПИРОБАЙТ""",2222892669
"ООО ""ОКСОФТ""",2222899270
"ООО ""ВЕНТОР""",2223045560
"ООО ""ПРОМСОФТЛАБ""",2223635880
"ООО ""НИЦ ""СИСТЕМЫ УПРАВЛЕНИЯ""",2224100238
"ООО ""ФРИМАТИК""",2224106310
ООО ИКСТРИ,2224107530
"ООО ""РУСТЕЛЕТЕХ""",2224137090
"ООО ""МЕГАГРУПП-РАЗРАБОТКА""",2224161449
"ООО ""ЛАБИРИНТ""",2224172458
"ООО ""МОБИЛКОНТ""",2224172708
"ООО ""КЕДР СОЛЮШЕНС""",2224176910
"ООО ""ДВА ПЛЮС ДВА""",2224185619
"АО ""РИТЕЙЛ-ИНТЕГРАЦИЯ""",2224192398
"ООО ""ТРУБИМ - ИНЖИНИРИНГ""",2224208217
"ООО ""ВЦ ЖКХ""",2225030865
"ООО ""МАКСИМУМ""",2225065900
"ООО ""БИЛЛИНГОВЫЙ ЦЕНТР""",2225066572
"ООО ""АКТИВ ДИЗАЙН ПЛЮС""",2225067047
"ООО ""СВИК""",2225071847
